word,label,hyp,hyp_rel,hyp_rate,cosine_centroid
daffodil,pos,True,['variability_limited'],0.875,0.5853205
cheetah,pos,True,['variability_limited'],0.875,0.34151265
pansy,pos,True,['variability_limited'],0.5555555555555556,0.5201029
flower,pos,True,['typical_of_property'],0.6666666666666666,0.68211675
corn,pos,True,['typical_of_property'],1.0,0.497932
mustard,pos,True,['typical_of_property'],0.8888888888888888,0.47995138
buttercup,pos,False,['typical_of_concept'],0.75,0.581842
lion,pos,True,['variability_limited'],0.8571428571428571,0.29623187
daisy,pos,True,['variability_limited'],0.8571428571428571,0.60640115
sunbeam,pos,True,['variability_limited'],1.0,0.44341126
corncob,pos,True,"['typical_of_property', 'variability_limited']",0.875,0.49066976
beer,pos,True,['variability_limited'],1.0,0.41979638
pyramid,pos,False,['typical_of_concept'],0.7777777777777778,0.26590508
pineapple,pos,True,['variability_limited'],0.75,0.63665736
butter,pos,True,['variability_limited'],0.7142857142857143,0.39719942
cheese,pos,True,['variability_limited'],0.8888888888888888,0.5263451
grapefruit,pos,True,['variability_limited'],0.875,0.60657275
locust,pos,True,['variability_limited'],0.875,0.47486615
sun,pos,True,"['variability_limited', 'typical_of_property']",1.0,0.3702005
budgie,pos,True,['variability_limited'],0.7777777777777778,0.4726838
taxi,pos,True,['typical_of_property'],0.7142857142857143,0.23596361
cider,pos,True,['variability_limited'],0.7142857142857143,0.47916165
sunflower,pos,True,['typical_of_property'],0.875,0.6251704
champagne,pos,True,['variability_limited'],0.7777777777777778,0.36282545
dandelion,pos,True,['typical_of_property'],0.7777777777777778,0.6739996
goldfish,pos,True,['variability_limited'],0.6666666666666666,0.45934877
marigold,pos,True,"['typical_of_property', 'variability_limited']",1.0,0.62707573
banana,pos,True,['variability_limited'],0.9,0.63176286
radish,neg,False,['unusual'],0.6666666666666666,0.66318005
huckleberry,neg,False,['unusual'],0.9,0.5162291
grape,neg,False,"['unusual', 'rare']",0.7777777777777778,0.63169456
bean,neg,False,"['unusual', 'rare']",0.7777777777777778,0.5898221
chocolate,neg,False,['unusual'],0.875,0.55927795
salad,neg,False,['unusual'],0.7142857142857143,0.5356004
herb,neg,False,['rare'],0.875,0.5678155
lime,neg,False,['rare'],0.75,0.52662516
car,neg,False,['rare'],0.5555555555555556,0.2543911
berry,neg,False,['unusual'],0.5555555555555556,0.6888302
emerald,neg,False,['impossible'],0.7,0.43661934
walnut,neg,False,"['unusual', 'creative', 'rare']",0.7142857142857143,0.54628396
cactus,neg,False,"['rare', 'unusual']",0.875,0.5833816
water,neg,False,"['rare', 'unusual']",1.0,0.32388514
bottle,neg,False,"['unusual', 'rare']",0.7777777777777778,0.39970127
cream,neg,False,['unusual'],0.5454545454545454,0.44572115
jade,neg,False,['unusual'],1.0,0.42556527
tank,neg,False,"['unusual', 'rare']",0.875,0.18470146
milk,neg,False,['unusual'],0.8571428571428571,0.44723415
skunk,neg,False,"['impossible', 'unusual']",0.625,0.50510323
oven,neg,False,['unusual'],1.0,0.29887044
crow,neg,False,['impossible'],0.8571428571428571,0.4110695
pecan,neg,False,['unusual'],0.6666666666666666,0.53672534
tomato,neg,False,['rare'],0.875,0.66354495
garlic,neg,False,['unusual'],0.75,0.5723722
mamey,neg,False,"['rare', 'unusual']",0.625,0.6147125
plumeria,neg,False,['unusual'],0.5714285714285714,0.56865513
vanilla,neg,False,"['rare', 'unusual']",0.5714285714285714,0.4690292
truffle,neg,False,['unusual'],0.75,0.5252472
jean,neg,False,"['rare', 'unusual']",0.8888888888888888,0.27243975
guava,neg,False,['rare'],0.8888888888888888,0.5980957
football,neg,False,['unusual'],0.7777777777777778,0.2105879
carrot,neg,False,['rare'],0.7777777777777778,0.478168
vegetable,neg,False,['rare'],0.7142857142857143,0.5598671
pawpaw,neg,False,['rare'],0.625,0.62568086
willow,neg,False,"['rare', 'unusual']",0.625,0.48052865
pistachio,neg,False,['rare'],0.875,0.52050966
miner,neg,False,['creative'],0.7777777777777778,0.16657256
human,neg,False,['unusual'],0.7142857142857143,0.17897007
alligator,neg,False,['unusual'],0.625,0.37334716
tire,neg,False,['unusual'],1.0,0.2316741
dog,neg,False,['unusual'],0.875,0.39247862
chameleon,neg,False,"['rare', 'unusual']",0.7142857142857143,0.28033403
chive,neg,False,"['unusual', 'rare']",0.8571428571428571,0.59015566
